original_name	col	color	idx	row	sample	tissue	zoom
RT433S4C1R2_LH_100x_g.TIF	C1	g	RT433	R2	S4	LH	100x
RT433S4C1R1_ParCortex_100x_g.TIF	C1	g	RT433	R1	S4	ParCortex	100x
RT433S5C2R2_MM_100x_g.TIF	C2	g	RT433	R2	S5	MM	100x
RT433S6C3R2_RVLM_100x_g.TIF	C3	g	RT433	R2	S6	RVLM	100x
RT433S5C4R2_VLPAG_100x_g.TIF	C4	g	RT433	R2	S5	VLPAG	100x
RT433S4C1R2_DM_100x_g.TIF	C1	g	RT433	R2	S4	DM	100x
RT433S2C2R1_Septum_100x_g.TIF	C2	g	RT433	R1	S2	Septum	100x
Mar26bS1C4R2_LHl_200x_y.TIF	C4	y	Mar26b	R2	S1	LHl	200x
Mar26bS2C2R2_DMr_200x_g.TIF	C2	g	Mar26b	R2	S2	DMr	200x
Mar26bS1C2R2_VLPAGl_200x_g.TIF	C2	g	Mar26b	R2	S1	VLPAGl	200x
Mar26bS2C2R2_LHr_200x_y.TIF	C2	y	Mar26b	R2	S2	LHr	200x
Mar26bS1C4R2_DMl_200x_g.TIF	C4	g	Mar26b	R2	S1	DMl	200x
Mar26bS2C2R1_LHl_200x_g.TIF	C2	g	Mar26b	R1	S2	LHl	200x
Mar26bS2C1R2_LHl_200x_g.TIF	C1	g	Mar26b	R2	S2	LHl	200x
Mar26bS2C2R2_DMl_200x_g.TIF	C2	g	Mar26b	R2	S2	DMl	200x
Mar26bS1C2R2_VLPAGr_200x_y.TIF	C2	y	Mar26b	R2	S1	VLPAGr	200x
Mar26bS2C1R2_LHr_200x_y.TIF	C1	y	Mar26b	R2	S2	LHr	200x
Mar26bS1C4R3_LHl_200x_g.TIF	C4	g	Mar26b	R3	S1	LHl	200x
Mar26bS2C1R1_DMr_200x_g.TIF	C1	g	Mar26b	R1	S2	DMr	200x
Mar26bS2C2R3_LHr_200x_g.TIF	C2	g	Mar26b	R3	S2	LHr	200x
Mar26bS2C2R2_LHl_200x_y.TIF	C2	y	Mar26b	R2	S2	LHl	200x
Mar26bS1C2R2_VLPAGr_200x_g.TIF	C2	g	Mar26b	R2	S1	VLPAGr	200x
Mar26bS1C1R3_VLPAGr_200x_g.TIF	C1	g	Mar26b	R3	S1	VLPAGr	200x
Mar26bS1C2R1_VLPAGl_200x_g.TIF	C2	g	Mar26b	R1	S1	VLPAGl	200x
Mar26bS1C1R4_VLPAGl_200x_y.TIF	C1	y	Mar26b	R4	S1	VLPAGl	200x
Mar26bS1C1R4_VLPAGl_200x_g.TIF	C1	g	Mar26b	R4	S1	VLPAGl	200x
Mar26bS1C2R2_VLPAGl_200x_y.TIF	C2	y	Mar26b	R2	S1	VLPAGl	200x
Mar26bS1C4R3_DMr_200x_y.TIF	C4	y	Mar26b	R3	S1	DMr	200x
Mar26bS2C3R1_LHr_200x_y.TIF	C3	y	Mar26b	R1	S2	LHr	200x
Mar26bS2C3R1_LHr_200x_g.TIF	C3	g	Mar26b	R1	S2	LHr	200x
Mar26bS2C3R1_LHl_200x_y.TIF	C3	y	Mar26b	R1	S2	LHl	200x
Mar26bS1C4R3_DMl_200x_g.TIF	C4	g	Mar26b	R3	S1	DMl	200x
Mar26bS2C1R1_LHl_200x_g.TIF	C1	g	Mar26b	R1	S2	LHl	200x
Mar26bS1C4R2_LHr_200x_y.TIF	C4	y	Mar26b	R2	S1	LHr	200x
Mar26bS2C3R1_LHl_200x_g.TIF	C3	g	Mar26b	R1	S2	LHl	200x
Mar26bS2C2R1_LHr_200x_y.TIF	C2	y	Mar26b	R1	S2	LHr	200x
Mar26bS2C2R1_DMl_200x_g.TIF	C2	g	Mar26b	R1	S2	DMl	200x
Mar26bS2C2R3_LHl_200x_y.TIF	C2	y	Mar26b	R3	S2	LHl	200x
Mar26bS1C4R3_LHr_200x_g.TIF	C4	g	Mar26b	R3	S1	LHr	200x
Mar26bS2C1R2_DMl_200x_y.TIF	C1	y	Mar26b	R2	S2	DMl	200x
Mar26bS1C4R2_DMr_200x_y.TIF	C4	y	Mar26b	R2	S1	DMr	200x
Mar26bS1C4R3_DMl_200x_y.TIF	C4	y	Mar26b	R3	S1	DMl	200x
