original_name	original_tag	imagepro_name	folder	mask_name	set
RT433S4C1R2_DM_100x_g.TIF	RT433S4C1R2_DM_cFos+.tag	campione0	RT433	0.TIF	train
RT433S6C3R2_RVLM_100x_g.TIF	RT433S6C3R2_RVLM_cFos+.tag	campione1	RT433	1.TIF	train
RT433S4C1R1_ParCortex_100x_g.TIF	RT433S4C1R1_ParCortex_cFos+.tag	campione2	RT433	2.TIF	validation
RT433S2C2R1_Septum_100x_g.TIF	RT433S2C2R1_Septum_cFos+.tag	campione3	RT433	3.TIF	train
RT433S5C4R2_VLPAG_100x_g.TIF	RT433S5C4R2_VLPAG_cFos+.tag	campione4	RT433	4.TIF	train
RT433S5C2R2_MM_100x_g.TIF	RT433S5C2R2_MM_cFos+.tag	campione5	RT433	5.TIF	train
RT433S4C1R2_LH_100x_g.TIF	RT433S4C1R2_LH_cFos+.tag	campione6	RT433	6.TIF	train
Mar26bS2C1R1_DMl_200x_g.TIF	Mar26bS2C1R1_DMl_cFos+.tag	campione0	Mar26b	7.TIF	train
Mar26bS2C2R3_LHr_200x_g.TIF	Mar26bS2C2R3_LHr_cFos+.tag	campione1	Mar26b	8.TIF	validation
Mar26bS1C4R2_DMl_200x_g.TIF	Mar26bS1C4R2_DMl_cFos+.tag	campione2	Mar26b	9.TIF	train
Mar26bS2C1R1_DMr_200x_g.TIF	Mar26bS2C1R1_DMr_cFos+.tag	campione3	Mar26b	10.TIF	test
Mar26bS2C2R3_LHl_200x_g.TIF	Mar26bS2C2R3_LHl_cFos+.tag	campione4	Mar26b	11.TIF	train
Mar26bS1C4R2_DMr_200x_g.TIF	Mar26bS1C4R2_DMr_cFos+.tag	campione5	Mar26b	12.TIF	test
Mar26bS1C2R2_VLPAGr_200x_g.TIF	Mar26bS1C2R2_VLPAGr_cFos+.tag	campione6	Mar26b	13.TIF	train
Mar26bS1C2R2_VLPAGl_200x_g.TIF	Mar26bS1C2R2_VLPAGl_cFos+.tag	campione7	Mar26b	14.TIF	validation
Mar26bS1C1R3_VLPAGr_200x_g.TIF	Mar26bS1C1R3_VLPAGr_cFos+.tag	campione8	Mar26b	15.TIF	train
Mar26bS1C4R3_DMr_200x_g.TIF	Mar26bS1C4R3_DMr_cFos+.tag	campione9	Mar26b	16.TIF	train
Mar26bS2C2R2_LHl_200x_g.TIF	Mar26bS2C2R2_LHl_cFos+.tag	campione10	Mar26b	17.TIF	validation
Mar26bS2C3R1_LHl_200x_g.TIF	Mar26bS2C3R1_LHl_cFos+.tag	campione11	Mar26b	18.TIF	test
